,,,,,
Marca,Modelo,Año,País,Valor,Especificaciones
Acura,ILX,2019,USA,"10,340.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 |"
Acura,ILX,2019,JAPÓN,"10,340.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 |"
Acura,ILX,2019,JAPÓN,"10,340.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,400 || PASAJEROS: 5 || PUERTAS: 4 |"
Acura,ILX,2019,USA,"10,340.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 |
Acura,ILX,2019,USA,"10,976.00",SERIE: PREMIUM || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 |
Acura,ILX,2020,USA,"11,632.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 |"
Acura,ILX,2020,JAPÓN,"11,632.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 |"
Acura,ILX,2020,JAPÓN,"11,632.50","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,400 || PASAJEROS: 5 || PUERTAS: 4 |"
Acura,ILX,2020,USA,"11,632.50",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 |
Acura,ILX,2019,USA,"11,719.20",SERIE: PREMIUM TECH || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 |
Acura,ILX,2020,USA,"12,348.00",SERIE: PREMIUM || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,Integra,2019,JAPÓN,"12,600.00",SERIE: Base || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
Acura,ILX,2021,USA,"12,925.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,ILX,2021,JAPÓN,"12,925.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,ILX,2021,JAPÓN,"12,925.00","SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2,400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||"
Acura,ILX,2021,USA,"12,925.00",SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: FWD ||
Acura,ILX,2020,USA,"13,184.10",SERIE: PREMIUM TECH || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2400 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD ||
Acura,Integra,2019,JAPÓN,"13,400.00",SERIE: A-Spec || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 4 || PUERTAS: 4 || TRACCION: FWD ||
